variant,degradation,bin_acc,sensitivity,specificity
clahe,blur,0.711,0.536,0.831
clahe,exposure,0.807,0.62,0.935
clahe,noise,0.473,0.961,0.138
cold_diff,blur,0.639,0.128,0.989
cold_diff,exposure,0.786,0.503,0.981
cold_diff,noise,0.407,1.0,0.0
ddpm,blur,0.586,0.022,0.973
ddpm,exposure,0.602,0.05,0.981
ddpm,noise,0.575,0.017,0.958
ddpm_path,blur,0.591,0.056,0.958
ddpm_path,exposure,0.689,0.268,0.977
ddpm_path,noise,0.745,0.492,0.92
genai,blur,0.65,0.168,0.981
genai,exposure,0.686,0.246,0.989
genai,noise,0.698,0.268,0.992
raw,blur,0.675,0.229,0.981
raw,exposure,0.752,0.408,0.989
raw,noise,0.561,0.989,0.268
swinir_gan,blur,0.643,0.201,0.946
swinir_gan,exposure,0.789,0.542,0.958
swinir_gan,noise,0.616,0.994,0.356
