epoch,train_loss,accuracy,f1_macro,auc_macro_ovr,lr
1,1.609159076969798,0.1,0.06691019023468853,0.5287339457528255,9.999999999999999e-05
2,1.593248759246454,0.08181818181818182,0.03941585748145883,0.4684825325221557,0.00019999999999999998
3,1.49654959550718,0.075,0.029139072847682117,0.44851576551221817,0.0003
4,1.3755541897983086,0.08181818181818182,0.04411783338612607,0.4878174230507278,0.0002984732162821399
5,1.3515144306275904,0.075,0.047396810506566606,0.5476871216734847,0.0002939239460421746
6,1.299456799553662,0.07727272727272727,0.02924731182795699,0.5727535129619972,0.00028644479930317775
7,1.2959207995344952,0.07954545454545454,0.02947368421052631,0.5664040955257323,0.0002761880299246772
8,1.2679067336059198,0.07954545454545454,0.02947368421052631,0.6520886829993267,0.00026336243615313873
9,1.2472250911666125,0.08181818181818182,0.03138771683075481,0.6673704563134917,0.00024822911009179276
10,1.247019751478986,0.15681818181818183,0.08636450564161408,0.6923888124788175,0.00023109612261833963
11,1.1993727436298278,0.17272727272727273,0.09632056451612903,0.6907896420369802,0.00021231225195028297
12,1.203915667301271,0.22272727272727272,0.12438584098579389,0.7168024543002589,0.00019225988352621445
13,1.177245730772251,0.4431818181818182,0.21758046702511752,0.7890307578242816,0.00017134722574099276
14,1.188754905723944,0.55,0.248325844180992,0.8109407160614692,0.00015
15,1.2131309876790861,0.5409090909090909,0.2573616596634771,0.8391595964191063,0.00012865277425900724
16,1.1846188210278024,0.5659090909090909,0.27752769035024716,0.8556591094904975,0.00010774011647378553
17,1.138510301403883,0.5909090909090909,0.35408310226400774,0.8513912165622252,8.768774804971705e-05
18,1.1002448473907098,0.6295454545454545,0.38818942359740966,0.8556814296366607,6.890387738166041e-05
19,1.1356717467889552,0.6477272727272727,0.4170923613068602,0.8665210061647131,5.1770889908207245e-05
20,1.1113139807305685,0.6659090909090909,0.4289818803071901,0.8709777768655542,3.663756384686127e-05
21,1.1235535125034612,0.675,0.42144397964550306,0.8882735097743566,2.38119700753228e-05
22,1.1142771837187977,0.7022727272727273,0.48035247653447655,0.89485493976658,1.3555200696822232e-05
23,1.118215502297006,0.7159090909090909,0.47008184972014544,0.8932539913489718,6.076053957825411e-06
24,1.1192166541262372,0.725,0.49296948117852457,0.8998448105699876,1.5267837178600972e-06
25,1.1406242225228287,0.7477272727272727,0.5401103483371155,0.9063328430519434,0.0
