degradation,level,accuracy,f1_macro,kappa_qw,auc_macro_ovr
clean,none,0.8772727272727273,0.7711889851485076,0.9493774448393117,0.9599413613432397
blur,low,0.6590909090909091,0.4496105741692708,0.6385913958976221,0.863392496652083
blur,mid,0.5840909090909091,0.3077977282832774,0.4620664297095233,0.8240288270838796
blur,high,0.5181818181818182,0.21084961486172,0.26471645223891316,0.7718823055432453
exposure,low,0.7340909090909091,0.5161971548690991,0.7768486677717028,0.914721833773925
exposure,mid,0.6977272727272728,0.49002716161289916,0.7133813414922329,0.8991977547652737
exposure,high,0.6068181818181818,0.39738940770387304,0.49158115469085406,0.8700673178649805
noise,low,0.7318181818181818,0.5102422437254162,0.7825541261374334,0.8887933893082474
noise,mid,0.7022727272727273,0.40782067174072506,0.6594408843838814,0.8450047468717587
noise,high,0.3159090909090909,0.20762762116217,0.15219512195121965,0.7769119513809775
