model,method,level,variant,pred,conf_severe,insertion_auc,deletion_auc,stability
resnet50,gradcam,clean,reference,2,0.12644731998443604,0.3387,0.0811,1.0
resnet50,gradcam,low,raw,3,0.4329940676689148,0.5837,0.0884,0.6271
resnet50,gradcam,low,genai,3,0.4153295159339905,0.6034,0.0808,0.6489
resnet50,gradcam,mid,raw,3,0.4534674882888794,0.5521,0.0889,0.1875
resnet50,gradcam,mid,genai,3,0.32258424162864685,0.4929,0.1087,0.2648
resnet50,gradcam,high,raw,4,0.16708436608314514,0.2566,0.1115,0.0574
resnet50,gradcam,high,genai,4,0.08598320186138153,0.166,0.0782,0.2016
efficientnet_b3,gradcam,clean,reference,0,0.1238505020737648,0.1061,0.0742,1.0
efficientnet_b3,gradcam,low,raw,3,0.4086115062236786,0.3866,0.1324,0.0535
efficientnet_b3,gradcam,low,genai,3,0.37809112668037415,0.3954,0.0938,0.2928
efficientnet_b3,gradcam,mid,raw,4,0.06027925759553909,0.1059,0.0485,0.1279
efficientnet_b3,gradcam,mid,genai,4,0.32044732570648193,0.2455,0.1102,0.1251
efficientnet_b3,gradcam,high,raw,4,0.029099419713020325,0.0382,0.0568,-0.0107
efficientnet_b3,gradcam,high,genai,4,0.044225484132766724,0.0408,0.0547,-0.2606
vit_base,attention,clean,reference,4,0.10681626945734024,0.1236,0.1367,1.0
vit_base,attention,low,raw,4,0.10533745586872101,0.1301,0.1953,0.7591
vit_base,attention,low,genai,4,0.1608918160200119,0.1505,0.3291,0.7861
vit_base,attention,mid,raw,4,0.08468026667833328,0.1184,0.2191,0.6403
vit_base,attention,mid,genai,4,0.09420473873615265,0.1274,0.2419,0.6914
vit_base,attention,high,raw,4,0.12294550985097885,0.1253,0.2172,0.5574
vit_base,attention,high,genai,4,0.1236354410648346,0.1289,0.2323,0.6068
