model,variant,accuracy
resnet50,clean (no restore),0.85
efficientnet_b3,clean (no restore),0.05
vit_base,clean (no restore),0.775
resnet50,CLAHE,0.775
efficientnet_b3,CLAHE,0.0
vit_base,CLAHE,0.6
resnet50,A-ESRGAN,0.875
efficientnet_b3,A-ESRGAN,0.15
vit_base,A-ESRGAN,0.775
resnet50,Cold Diffusion,0.3
efficientnet_b3,Cold Diffusion,0.2
vit_base,Cold Diffusion,0.55
resnet50,SwinIR+GAN,0.675
efficientnet_b3,SwinIR+GAN,0.025
vit_base,SwinIR+GAN,0.65
resnet50,DDPM (vanilla),0.1
efficientnet_b3,DDPM (vanilla),0.0
vit_base,DDPM (vanilla),0.2
resnet50,DDPM (pathology),0.725
efficientnet_b3,DDPM (pathology),0.025
vit_base,DDPM (pathology),0.675
