degradation,level,variant,accuracy,f1_macro,kappa_qw,auc_macro_ovr
blur,low,genai_ftadapted,0.5431818181818182,0.29192075070839074,0.3812671870225828,0.8380129007351578
blur,mid,genai_ftadapted,0.38181818181818183,0.2698522511545659,0.35314144227793254,0.7309271032957588
blur,high,genai_ftadapted,0.15,0.10128686946476703,0.1674216685541714,0.6234263625396024
exposure,low,genai_ftadapted,0.525,0.2553237331316723,0.29947795665126964,0.8402065983064801
exposure,mid,genai_ftadapted,0.5363636363636364,0.3076347524502035,0.3808021940349675,0.8274678218631696
exposure,high,genai_ftadapted,0.4863636363636364,0.23690076115707687,0.32848497717379765,0.7632072805939021
noise,low,genai_ftadapted,0.5272727272727272,0.2599585911903895,0.28328863853814346,0.8398072590161381
noise,mid,genai_ftadapted,0.5159090909090909,0.270786611250664,0.34539377071649346,0.8175891380851652
noise,high,genai_ftadapted,0.4954545454545455,0.25255272089480646,0.34439459227340696,0.7726116679114186
