epoch,train_loss,accuracy,f1_macro,auc_macro_ovr
1,1.1656531827491627,0.6560364464692483,0.2864950577216615,0.8453703984628774
2,0.8859947857103849,0.7266514806378133,0.3264521053994738,0.9115370653217173
3,0.801914352654946,0.7585421412300684,0.40464433811802236,0.9125951770275789
4,0.7543660795014736,0.7676537585421412,0.41823776905302185,0.9320238128523111
5,0.6968050248209263,0.7949886104783599,0.5623771648776874,0.9308000153382674
6,0.6616551541445548,0.7995444191343963,0.5894175127895231,0.9385092713159704
7,0.6243682717486897,0.8405466970387244,0.6744019897628145,0.9494197933312613
8,0.605654907621603,0.8405466970387244,0.675341904020855,0.9514047869202044
9,0.560891539846015,0.856492027334852,0.7017201354789077,0.9445963545915473
10,0.5332681844573737,0.8314350797266514,0.6426681231474506,0.9486156589387708
11,0.5158278728321514,0.8314350797266514,0.6705859959406232,0.9489573439909268
12,0.5078304738793922,0.8291571753986332,0.6729485050138407,0.9522521307708688
13,0.4866698500473364,0.8337129840546698,0.6827837885385055,0.951441842515542
14,0.4716082644044307,0.8200455580865603,0.6702087751898207,0.9484674125030594
15,0.47768218417381453,0.8337129840546698,0.6883836187257443,0.9520189243733835
